employee_id,attrition_flag,attrition_date,attrition_reason_category
E00238,N,,
E00239,N,,
E00240,N,,
E00241,N,,
E00242,N,,
E00243,N,,
E00244,N,,
E00245,N,,
E00246,N,,
E00247,Y,2024-10-05,定年
E00248,N,,
E00249,Y,2025-10-08,定年
E00250,N,,
E00251,N,,
E00252,N,,
E00253,N,,
E00254,N,,
E00255,N,,
E00256,N,,
E00257,N,,
E00258,N,,
E00259,Y,2024-03-23,転職
E00260,N,,
E00261,N,,
E00262,Y,2024-11-30,契約満了
E00263,N,,
E00264,N,,
E00265,N,,
E00266,N,,
E00267,N,,
E00268,N,,
E00269,N,,
E00270,N,,
E00271,N,,
E00272,N,,
E00273,N,,
E00274,N,,
E00275,N,,
E00276,N,,
E00277,N,,
E00278,N,,
E00279,N,,
E00280,N,,
E00281,N,,
E00282,N,,
E00283,N,,
E00284,N,,
E00285,N,,
E00286,N,,
E00287,N,,
E00288,N,,
E00289,N,,
E00290,N,,
E00291,N,,
E00292,Y,2025-11-14,転職
E00293,N,,
E00294,N,,
E00295,N,,
E00296,N,,
E00297,N,,
E00298,Y,2024-02-14,契約満了
E00299,N,,
E00300,Y,2025-07-30,転職
E00301,N,,
E00302,N,,
E00303,N,,
E00304,N,,
E00305,N,,
E00306,N,,
E00307,N,,
E00308,N,,
E00309,N,,
E00310,N,,
E00311,N,,
E00312,Y,2024-08-21,家庭事情
E00313,N,,
E00314,N,,
E00315,Y,2025-07-06,契約満了
E00316,N,,
E00317,N,,
E00318,N,,
E00319,N,,
E00320,N,,
E00321,N,,
E00322,N,,
E00323,N,,
E00324,N,,
E00325,N,,
E00326,Y,2024-10-30,転職
E00327,N,,
E00328,N,,
E00329,N,,
E00330,N,,
E00331,N,,
E00332,N,,
E00333,N,,
E00334,N,,
E00335,N,,
E00336,N,,
E00337,N,,
E00338,N,,
E00339,Y,2025-02-03,転職
E00340,N,,
E00341,N,,
E00342,Y,2024-05-16,その他
E00343,N,,
E00344,N,,
E00345,N,,
E00346,N,,
E00347,N,,
E00348,N,,
E00349,N,,
E00350,N,,
E00351,Y,2024-12-18,転職
E00352,N,,
E00353,N,,
E00354,N,,
E00355,N,,
E00356,N,,
E00357,Y,2025-07-13,定年
E00358,N,,
E00359,N,,
E00360,N,,
E00361,Y,2025-05-29,定年
E00362,N,,
E00363,N,,
E00364,N,,
E00365,Y,2025-08-04,転職
E00366,N,,
E00367,N,,
E00368,N,,
E00369,N,,
E00370,N,,
E00371,N,,
E00372,N,,
E00373,Y,2024-09-30,家庭事情
E00374,N,,
E00375,N,,
E00376,N,,
E00377,N,,
E00378,N,,
E00379,N,,
E00380,N,,
E00381,N,,
E00382,N,,
E00383,N,,
E00384,N,,
E00385,N,,
E00386,N,,
E00387,N,,
E00388,Y,2024-12-13,転職
E00389,N,,
E00390,Y,2024-08-04,その他
E00391,N,,
E00392,N,,
E00393,N,,
E00394,N,,
E00395,N,,
E00396,N,,
E00397,N,,
E00398,N,,
E00399,N,,
E00400,N,,
E00401,N,,
E00402,N,,
E00403,N,,
E00404,Y,2024-05-08,定年
E00405,N,,
E00406,N,,
E00407,N,,
E00408,N,,
E00409,N,,
E00410,N,,
E00411,Y,2025-04-20,家庭事情
E00412,N,,
E00413,N,,
E00414,N,,
E00415,N,,
E00416,N,,
E00417,N,,
E00418,N,,
E00419,N,,
E00420,N,,
E00421,N,,
E00422,N,,
E00423,Y,2025-11-22,家庭事情
E00424,Y,2024-09-22,家庭事情
E00425,N,,
E00426,N,,
E00427,N,,
E00428,N,,
E00429,N,,
E00430,N,,
E00431,N,,
E00432,Y,2024-10-31,定年
E00433,N,,
E00434,Y,2025-09-10,契約満了
E00435,N,,
E00436,N,,
E00437,N,,
E00438,N,,
E00439,N,,
E00440,N,,
E00441,N,,
E00442,N,,
E00443,N,,
E00444,N,,
E00445,N,,
E00446,Y,2024-11-23,その他
E00447,N,,
E00448,N,,
E00449,N,,
E00450,N,,
E00451,N,,
E00452,N,,
E00453,N,,
E00454,Y,2024-05-11,転職
E00455,N,,
E00456,N,,
E00457,N,,
E00458,N,,
E00459,N,,
E00460,N,,
E00461,N,,
E00462,N,,
E00463,N,,
E00464,N,,
E00465,N,,
E00466,N,,
E00467,N,,
E00468,N,,
E00469,N,,
E00470,N,,
E00471,N,,
E00472,N,,
E00473,N,,
E00474,N,,
E00475,N,,
E00476,N,,
E00477,N,,
E00478,N,,
E00479,N,,
E00480,N,,
E00481,N,,
E00482,N,,
E00483,N,,
E00484,N,,
E00485,N,,
E00486,N,,
E00487,N,,
E00488,Y,2025-11-11,その他
E00489,N,,
E00490,Y,2024-05-26,定年
E00491,Y,2025-02-27,家庭事情
E00492,Y,2024-02-11,契約満了
E00493,N,,
E00494,N,,
E00495,N,,
E00496,N,,
E00497,N,,
E00498,Y,2024-12-08,家庭事情
E00499,N,,
E00500,N,,
E00501,N,,
E00502,N,,
E00503,N,,
E00504,N,,
E00505,N,,
E00506,N,,
E00507,N,,
E00508,N,,
E00509,N,,
E00510,N,,
E00511,Y,2025-03-04,家庭事情
E00512,N,,
E00513,N,,
E00514,N,,
E00515,N,,
E00516,N,,
E00517,N,,
E00518,Y,2025-04-01,家庭事情
E00519,N,,
E00520,N,,
E00521,N,,
E00522,N,,
E00523,N,,
E00524,N,,
E00525,N,,
E00526,Y,2025-05-29,転職
E00527,N,,
E00528,N,,
E00529,N,,
E00530,N,,
E00531,N,,
E00532,N,,
E00533,N,,
E00534,N,,
E00535,N,,
E00536,N,,
E00537,N,,
E00538,N,,
E00539,N,,
E00540,Y,2024-04-01,定年
E00541,N,,
E00542,N,,
E00543,N,,
E00544,N,,
E00545,N,,
E00546,N,,
E00547,N,,
E00548,Y,2025-10-20,転職
E00549,N,,
E00550,N,,
E00551,N,,
E00552,N,,
E00553,N,,
E00554,N,,
E00555,N,,
E00556,N,,
E00557,Y,2024-02-08,転職
E00558,N,,
E00559,N,,
E00560,N,,
E00561,N,,
E00562,N,,
E00563,N,,
E00564,N,,
E00565,N,,
E00566,Y,2024-10-10,定年
E00567,N,,
E00568,Y,2024-03-28,定年
E00569,N,,
E00570,N,,
E00571,N,,
E00572,N,,
E00573,N,,
E00574,N,,
E00575,N,,
E00576,N,,
E00577,N,,
E00578,N,,
E00579,N,,
E00580,N,,
E00581,N,,
E00582,N,,
E00583,Y,2024-11-14,家庭事情
E00584,N,,
E00585,N,,
E00586,N,,
E00587,N,,
E00588,Y,2024-03-04,その他
E00589,N,,
E00590,Y,2024-08-30,その他
E00591,N,,
E00592,N,,
E00593,Y,2025-01-28,転職
E00594,N,,
E00595,N,,
E00596,N,,
E00597,N,,
E00598,N,,
E00599,N,,
E00600,N,,
