employee_id,fiscal_year,evaluation_grade,evaluation_score
E00036,2025,B,3
E00037,2023,A,4
E00037,2024,B,3
E00037,2025,S,5
E00038,2023,S,5
E00038,2024,S,5
E00038,2025,S,5
E00039,2023,D,1
E00039,2024,D,1
E00039,2025,D,1
E00040,2023,S,5
E00040,2024,A,4
E00040,2025,A,4
E00041,2023,A,4
E00041,2024,C,2
E00041,2025,S,5
E00042,2023,D,1
E00042,2024,C,2
E00042,2025,C,2
E00043,2023,S,5
E00043,2024,S,5
E00043,2025,S,5
E00044,2023,A,4
E00044,2024,B,3
E00044,2025,B,3
E00045,2023,S,5
E00045,2024,B,3
E00045,2025,C,2
E00046,2023,C,2
E00046,2024,B,3
E00046,2025,D,1
E00047,2023,A,4
E00047,2024,S,5
E00047,2025,S,5
E00048,2023,D,1
E00048,2024,C,2
E00048,2025,C,2
E00049,2023,C,2
E00049,2024,D,1
E00049,2025,D,1
E00050,2023,C,2
E00050,2024,A,4
E00050,2025,B,3
E00051,2023,S,5
E00051,2024,S,5
E00051,2025,B,3
E00052,2023,B,3
E00052,2024,B,3
E00052,2025,C,2
E00053,2023,D,1
E00053,2024,C,2
E00053,2025,C,2
E00054,2023,B,3
E00054,2024,S,5
E00054,2025,B,3
E00055,2023,S,5
E00055,2024,S,5
E00055,2025,A,4
E00056,2023,C,2
E00056,2024,C,2
E00056,2025,C,2
E00057,2023,S,5
E00057,2024,B,3
E00057,2025,A,4
E00058,2023,C,2
E00058,2024,A,4
E00058,2025,C,2
E00059,2023,B,3
E00059,2024,C,2
E00059,2025,C,2
E00060,2023,S,5
E00060,2024,A,4
E00060,2025,S,5
E00061,2023,A,4
E00061,2024,A,4
E00061,2025,S,5
E00062,2023,A,4
E00062,2024,A,4
E00062,2025,S,5
E00063,2023,D,1
E00063,2024,B,3
E00063,2025,B,3
E00064,2023,C,2
E00064,2024,A,4
E00064,2025,B,3
E00065,2023,B,3
E00065,2024,C,2
E00065,2025,B,3
E00066,2023,A,4
E00066,2024,B,3
E00066,2025,B,3
E00067,2023,A,4
E00067,2024,S,5
E00067,2025,C,2
E00068,2023,D,1
E00068,2024,B,3
E00068,2025,C,2
E00069,2023,C,2
E00069,2024,B,3
E00069,2025,D,1
E00070,2023,B,3
E00070,2024,C,2
E00070,2025,A,4
E00071,2023,S,5
E00071,2024,S,5
E00071,2025,S,5
E00072,2023,B,3
E00072,2024,C,2
E00072,2025,B,3
E00073,2023,D,1
E00073,2024,D,1
E00073,2025,B,3
E00074,2023,B,3
E00074,2024,B,3
E00074,2025,B,3
E00075,2023,S,5
E00075,2024,B,3
E00075,2025,A,4
E00076,2023,C,2
E00076,2024,B,3
E00076,2025,C,2
E00077,2023,C,2
E00077,2024,C,2
E00077,2025,S,5
E00078,2023,A,4
E00078,2024,C,2
E00078,2025,C,2
E00079,2023,D,1
E00079,2024,D,1
E00079,2025,D,1
E00080,2023,C,2
E00080,2024,A,4
E00080,2025,B,3
E00081,2023,A,4
E00081,2024,B,3
E00081,2025,S,5
E00082,2023,B,3
E00082,2024,C,2
E00082,2025,C,2
E00083,2023,B,3
E00083,2024,B,3
E00083,2025,S,5
E00084,2023,S,5
E00084,2024,S,5
E00084,2025,S,5
E00085,2023,B,3
E00085,2024,A,4
E00085,2025,B,3
E00086,2023,B,3
E00086,2024,C,2
E00086,2025,D,1
E00087,2023,D,1
E00087,2024,C,2
E00087,2025,B,3
E00088,2023,C,2
E00088,2024,A,4
E00088,2025,A,4
E00089,2023,S,5
E00089,2024,A,4
E00089,2025,S,5
E00090,2023,S,5
E00090,2024,D,1
E00090,2025,C,2
E00091,2023,B,3
E00091,2024,D,1
E00091,2025,C,2
E00092,2023,S,5
E00092,2024,A,4
E00092,2025,S,5
E00093,2023,D,1
E00093,2024,B,3
E00093,2025,B,3
E00094,2023,B,3
E00094,2024,S,5
E00094,2025,S,5
E00095,2023,B,3
E00095,2024,D,1
E00095,2025,B,3
E00096,2023,S,5
E00096,2024,S,5
E00096,2025,S,5
E00097,2023,C,2
E00097,2024,D,1
E00097,2025,D,1
E00098,2023,C,2
E00098,2024,A,4
E00098,2025,A,4
E00099,2023,A,4
E00099,2024,B,3
E00099,2025,C,2
E00100,2023,B,3
E00100,2024,C,2
E00100,2025,A,4
E00101,2023,B,3
E00101,2024,S,5
E00101,2025,A,4
E00102,2023,B,3
E00102,2024,A,4
E00102,2025,A,4
E00103,2023,C,2
E00103,2024,B,3
E00103,2025,C,2
E00104,2023,D,1
E00104,2024,B,3
E00104,2025,A,4
E00105,2023,B,3
E00105,2024,A,4
E00105,2025,A,4
E00106,2023,C,2
E00106,2024,C,2
E00106,2025,D,1
E00107,2023,C,2
E00107,2024,C,2
E00107,2025,S,5
E00108,2023,S,5
E00108,2024,A,4
E00108,2025,D,1
E00109,2023,S,5
E00109,2024,S,5
E00109,2025,S,5
E00110,2023,B,3
E00110,2024,D,1
E00110,2025,D,1
E00111,2023,D,1
E00111,2024,D,1
E00111,2025,D,1
E00112,2023,C,2
E00112,2024,C,2
E00112,2025,D,1
E00113,2023,C,2
E00113,2024,B,3
E00113,2025,A,4
E00114,2023,D,1
E00114,2024,D,1
E00114,2025,D,1
E00115,2023,D,1
E00115,2024,D,1
E00115,2025,C,2
E00116,2023,C,2
E00116,2024,A,4
E00116,2025,A,4
E00117,2023,B,3
E00117,2024,B,3
E00117,2025,B,3
E00118,2023,C,2
E00118,2024,D,1
E00118,2025,B,3
E00119,2023,A,4
E00119,2024,A,4
E00119,2025,A,4
E00120,2023,D,1
E00120,2024,D,1
E00120,2025,C,2
E00121,2023,S,5
E00121,2024,S,5
E00121,2025,A,4
E00122,2023,B,3
E00122,2024,A,4
E00122,2025,A,4
E00123,2023,C,2
E00123,2024,B,3
E00123,2025,A,4
E00124,2023,C,2
E00124,2024,D,1
E00124,2025,D,1
E00125,2023,S,5
E00125,2024,S,5
E00125,2025,S,5
E00126,2023,C,2
E00126,2024,B,3
E00126,2025,C,2
E00127,2023,A,4
E00127,2024,A,4
E00127,2025,A,4
E00128,2023,D,1
E00128,2024,C,2
E00128,2025,C,2
E00129,2023,C,2
E00129,2024,D,1
E00129,2025,B,3
E00130,2023,B,3
E00130,2024,C,2
E00130,2025,A,4
E00131,2023,D,1
E00131,2024,D,1
E00131,2025,D,1
E00132,2023,B,3
E00132,2024,C,2
E00132,2025,S,5
E00133,2023,S,5
E00133,2024,C,2
E00133,2025,A,4
E00134,2023,D,1
E00134,2024,D,1
E00134,2025,C,2
E00135,2023,C,2
E00135,2024,C,2
E00135,2025,C,2
E00136,2023,S,5
E00136,2024,A,4
E00136,2025,S,5
E00137,2023,B,3
E00137,2024,B,3
E00137,2025,B,3
E00138,2023,D,1
E00138,2024,D,1
E00138,2025,D,1
E00139,2023,B,3
E00139,2024,C,2
E00139,2025,A,4
E00140,2023,A,4
E00140,2024,S,5
E00140,2025,B,3
E00141,2023,S,5
E00141,2024,A,4
E00141,2025,A,4
E00142,2023,C,2
E00142,2024,D,1
E00142,2025,C,2
E00143,2023,C,2
E00143,2024,A,4
E00143,2025,A,4
E00144,2023,S,5
E00144,2024,C,2
E00144,2025,B,3
E00145,2023,B,3
E00145,2024,C,2
E00145,2025,C,2
E00146,2023,D,1
E00146,2024,D,1
E00146,2025,B,3
E00147,2023,S,5
E00147,2024,B,3
E00147,2025,S,5
E00148,2023,S,5
E00148,2024,S,5
E00148,2025,S,5
E00149,2023,C,2
E00149,2024,D,1
E00149,2025,D,1
E00150,2023,A,4
E00150,2024,S,5
E00150,2025,S,5
E00151,2023,S,5
E00151,2024,S,5
E00151,2025,S,5
E00152,2023,D,1
E00152,2024,C,2
E00152,2025,D,1
E00153,2023,B,3
E00153,2024,A,4
E00153,2025,C,2
E00154,2023,B,3
E00154,2024,A,4
E00154,2025,A,4
E00155,2023,C,2
E00155,2024,D,1
E00155,2025,B,3
E00156,2023,S,5
E00156,2024,S,5
E00156,2025,S,5
E00157,2023,C,2
E00157,2024,C,2
E00157,2025,A,4
E00158,2023,C,2
E00158,2024,C,2
E00158,2025,C,2
E00159,2023,D,1
E00159,2024,B,3
E00159,2025,C,2
E00160,2023,A,4
E00160,2024,A,4
E00160,2025,C,2
E00161,2023,C,2
E00161,2024,B,3
E00161,2025,D,1
E00162,2023,D,1
E00162,2024,C,2
E00162,2025,D,1
E00163,2023,D,1
E00163,2024,B,3
E00163,2025,A,4
E00164,2023,C,2
E00164,2024,S,5
E00164,2025,S,5
E00165,2023,B,3
E00165,2024,D,1
E00165,2025,C,2
E00166,2023,B,3
E00166,2024,A,4
E00166,2025,S,5
E00167,2023,B,3
E00167,2024,C,2
E00167,2025,A,4
E00168,2023,D,1
E00168,2024,C,2
E00168,2025,C,2
E00169,2023,A,4
E00169,2024,S,5
E00169,2025,S,5
E00170,2023,S,5
E00170,2024,S,5
E00170,2025,S,5
E00171,2023,C,2
E00171,2024,D,1
E00171,2025,C,2
E00172,2023,S,5
E00172,2024,B,3
E00172,2025,A,4
E00173,2023,C,2
E00173,2024,C,2
E00173,2025,D,1
E00174,2023,D,1
E00174,2024,D,1
E00174,2025,D,1
E00175,2023,S,5
E00175,2024,A,4
E00175,2025,B,3
E00176,2023,S,5
E00176,2024,S,5
E00176,2025,S,5
E00177,2023,B,3
E00177,2024,B,3
E00177,2025,B,3
E00178,2023,A,4
E00178,2024,S,5
E00178,2025,S,5
E00179,2023,S,5
E00179,2024,A,4
E00179,2025,B,3
E00180,2023,S,5
E00180,2024,S,5
E00180,2025,S,5
E00181,2023,C,2
E00181,2024,A,4
E00181,2025,A,4
E00182,2023,B,3
E00182,2024,A,4
E00182,2025,S,5
E00183,2023,B,3
E00183,2024,C,2
E00183,2025,C,2
E00184,2023,C,2
E00184,2024,S,5
E00184,2025,B,3
E00185,2023,D,1
E00185,2024,C,2
E00185,2025,D,1
E00186,2023,A,4
E00186,2024,A,4
E00186,2025,B,3
E00187,2023,S,5
E00187,2024,S,5
E00187,2025,S,5
E00188,2023,B,3
E00188,2024,A,4
E00188,2025,D,1
E00189,2023,D,1
E00189,2024,D,1
E00189,2025,D,1
E00190,2023,S,5
E00190,2024,A,4
E00190,2025,B,3
E00191,2023,D,1
E00191,2024,D,1
E00191,2025,D,1
E00192,2023,A,4
E00192,2024,S,5
E00192,2025,A,4
E00193,2023,S,5
E00193,2024,D,1
E00193,2025,C,2
E00194,2023,A,4
E00194,2024,B,3
E00194,2025,A,4
E00195,2023,B,3
E00195,2024,A,4
E00195,2025,C,2
E00196,2023,S,5
E00196,2024,S,5
E00196,2025,A,4
E00197,2023,B,3
E00197,2024,B,3
E00197,2025,S,5
E00198,2023,A,4
E00198,2024,B,3
E00198,2025,A,4
E00199,2023,D,1
E00199,2024,B,3
E00199,2025,D,1
E00200,2023,B,3
E00200,2024,D,1
E00200,2025,B,3
E00201,2023,B,3
E00201,2024,B,3
E00201,2025,C,2
E00202,2023,D,1
E00202,2024,D,1
E00202,2025,C,2
E00203,2023,D,1
E00203,2024,C,2
E00203,2025,C,2
E00204,2023,D,1
E00204,2024,D,1
E00204,2025,D,1
E00205,2023,D,1
E00205,2024,D,1
E00205,2025,C,2
E00206,2023,A,4
E00206,2024,B,3
E00206,2025,C,2
E00207,2023,C,2
E00207,2024,S,5
E00207,2025,S,5
E00208,2023,S,5
E00208,2024,S,5
E00208,2025,A,4
E00209,2023,C,2
E00209,2024,B,3
E00209,2025,B,3
E00210,2023,B,3
E00210,2024,C,2
E00210,2025,A,4
E00211,2023,A,4
E00211,2024,B,3
E00211,2025,C,2
E00212,2023,B,3
E00212,2024,C,2
E00212,2025,S,5
E00213,2023,A,4
E00213,2024,S,5
E00213,2025,S,5
E00214,2023,D,1
E00214,2024,A,4
E00214,2025,B,3
E00215,2023,B,3
E00215,2024,B,3
E00215,2025,A,4
E00216,2023,A,4
E00216,2024,D,1
E00216,2025,C,2
E00217,2023,A,4
E00217,2024,S,5
E00217,2025,A,4
E00218,2023,C,2
E00218,2024,D,1
E00218,2025,D,1
E00219,2023,C,2
E00219,2024,C,2
E00219,2025,C,2
E00220,2023,A,4
E00220,2024,A,4
E00220,2025,B,3
E00221,2023,C,2
E00221,2024,C,2
E00221,2025,B,3
E00222,2023,B,3
E00222,2024,D,1
E00222,2025,S,5
E00223,2023,D,1
E00223,2024,C,2
E00223,2025,C,2
E00224,2023,C,2
E00224,2024,C,2
E00224,2025,D,1
E00225,2023,S,5
E00225,2024,A,4
E00225,2025,S,5
E00226,2023,A,4
E00226,2024,B,3
E00226,2025,C,2
E00227,2023,C,2
E00227,2024,A,4
E00227,2025,C,2
E00228,2023,D,1
E00228,2024,B,3
E00228,2025,C,2
E00229,2023,D,1
E00229,2024,C,2
E00229,2025,C,2
E00230,2023,S,5
E00230,2024,A,4
E00230,2025,A,4
E00231,2023,B,3
E00231,2024,B,3
E00231,2025,B,3
E00232,2023,D,1
E00232,2024,C,2
E00232,2025,D,1
E00233,2023,A,4
E00233,2024,S,5
E00233,2025,A,4
E00234,2023,A,4
E00234,2024,S,5
E00234,2025,S,5
E00235,2023,C,2
E00235,2024,A,4
E00235,2025,D,1
E00236,2023,D,1
E00236,2024,S,5
E00236,2025,A,4
E00237,2023,C,2
E00237,2024,A,4
E00237,2025,B,3
E00238,2023,A,4
E00238,2024,A,4
E00238,2025,A,4
E00239,2023,B,3
E00239,2024,A,4
E00239,2025,C,2
E00240,2023,A,4
E00240,2024,S,5
E00240,2025,B,3
E00241,2023,B,3
E00241,2024,D,1
E00241,2025,D,1
E00242,2023,S,5
E00242,2024,A,4
E00242,2025,S,5
E00243,2023,S,5
E00243,2024,C,2
E00243,2025,A,4
E00244,2023,A,4
E00244,2024,S,5
E00244,2025,S,5
E00245,2023,A,4
E00245,2024,D,1
E00245,2025,C,2
E00246,2023,C,2
E00246,2024,S,5
E00246,2025,C,2
E00247,2023,B,3
E00247,2024,B,3
E00247,2025,B,3
E00248,2023,D,1
E00248,2024,B,3
E00248,2025,B,3
E00249,2023,C,2
E00249,2024,B,3
E00249,2025,B,3
E00250,2023,S,5
E00250,2024,A,4
E00250,2025,S,5
E00251,2023,C,2
E00251,2024,A,4
E00251,2025,S,5
E00252,2023,B,3
E00252,2024,C,2
E00252,2025,B,3
E00253,2023,A,4
E00253,2024,C,2
E00253,2025,D,1
E00254,2023,D,1
E00254,2024,D,1
E00254,2025,C,2
E00255,2023,D,1
E00255,2024,B,3
E00255,2025,B,3
E00256,2023,D,1
E00256,2024,C,2
E00256,2025,D,1
E00257,2023,C,2
E00257,2024,D,1
E00257,2025,C,2
E00258,2023,B,3
E00258,2024,C,2
E00258,2025,B,3
E00259,2023,D,1
E00259,2024,C,2
E00259,2025,D,1
E00260,2023,D,1
E00260,2024,D,1
E00260,2025,D,1
E00261,2023,C,2
E00261,2024,C,2
E00261,2025,D,1
E00262,2023,B,3
E00262,2024,C,2
E00262,2025,C,2
E00263,2023,D,1
E00263,2024,D,1
E00263,2025,D,1
E00264,2023,S,5
E00264,2024,B,3
E00264,2025,S,5
E00265,2023,D,1
E00265,2024,D,1
E00265,2025,D,1
E00266,2023,S,5
E00266,2024,S,5
E00266,2025,A,4
E00267,2023,S,5
E00267,2024,S,5
E00267,2025,A,4
E00268,2023,B,3
E00268,2024,A,4
E00268,2025,B,3
E00269,2023,S,5
E00269,2024,S,5
E00269,2025,S,5
E00270,2023,B,3
E00270,2024,B,3
E00270,2025,C,2
E00271,2023,A,4
E00271,2024,A,4
E00271,2025,B,3
E00272,2023,C,2
E00272,2024,A,4
E00272,2025,A,4
E00273,2023,B,3
E00273,2024,D,1
E00273,2025,B,3
E00274,2023,C,2
E00274,2024,A,4
E00274,2025,S,5
E00275,2023,C,2
E00275,2024,B,3
E00275,2025,B,3
E00276,2023,C,2
E00276,2024,B,3
E00276,2025,D,1
E00277,2023,B,3
E00277,2024,B,3
E00277,2025,C,2
E00278,2023,D,1
E00278,2024,D,1
E00278,2025,C,2
E00279,2023,S,5
E00279,2024,A,4
E00279,2025,B,3
E00280,2023,A,4
E00280,2024,C,2
E00280,2025,S,5
E00281,2023,S,5
E00281,2024,A,4
E00281,2025,S,5
E00282,2023,C,2
E00282,2024,B,3
E00282,2025,B,3
E00283,2023,C,2
E00283,2024,B,3
E00283,2025,C,2
E00284,2023,C,2
E00284,2024,D,1
E00284,2025,D,1
E00285,2023,C,2
E00285,2024,C,2
E00285,2025,D,1
E00286,2023,A,4
E00286,2024,A,4
E00286,2025,D,1
E00287,2023,B,3
E00287,2024,B,3
E00287,2025,A,4
E00288,2023,B,3
E00288,2024,C,2
E00288,2025,A,4
E00289,2023,C,2
E00289,2024,B,3
E00289,2025,C,2
E00290,2023,C,2
E00290,2024,A,4
E00290,2025,C,2
E00291,2023,S,5
E00291,2024,A,4
E00291,2025,A,4
E00292,2023,B,3
E00292,2024,A,4
E00292,2025,A,4
E00293,2023,C,2
E00293,2024,C,2
E00293,2025,C,2
E00294,2023,S,5
E00294,2024,S,5
E00294,2025,A,4
E00295,2023,A,4
E00295,2024,B,3
E00295,2025,B,3
E00296,2023,S,5
E00296,2024,B,3
E00296,2025,C,2
E00297,2023,A,4
E00297,2024,C,2
E00297,2025,B,3
E00298,2023,C,2
E00298,2024,B,3
E00298,2025,A,4
E00299,2023,A,4
E00299,2024,B,3
E00299,2025,B,3
E00300,2023,C,2
E00300,2024,A,4
E00300,2025,B,3
E00301,2023,S,5
E00301,2024,S,5
E00301,2025,B,3
E00302,2023,A,4
E00302,2024,B,3
E00302,2025,A,4
E00303,2023,B,3
E00303,2024,C,2
E00303,2025,C,2
E00304,2023,C,2
E00304,2024,D,1
E00304,2025,D,1
E00305,2023,S,5
E00305,2024,S,5
E00305,2025,S,5
E00306,2023,C,2
E00306,2024,C,2
E00306,2025,B,3
E00307,2023,S,5
E00307,2024,B,3
E00307,2025,S,5
E00308,2023,S,5
E00308,2024,S,5
E00308,2025,A,4
E00309,2023,A,4
E00309,2024,C,2
E00309,2025,A,4
E00310,2023,D,1
E00310,2024,B,3
E00310,2025,C,2
E00311,2023,C,2
E00311,2024,D,1
E00311,2025,D,1
E00312,2023,B,3
E00312,2024,B,3
E00312,2025,A,4
E00313,2023,A,4
E00313,2024,A,4
E00313,2025,B,3
E00314,2023,C,2
E00314,2024,C,2
E00314,2025,C,2
E00315,2023,C,2
E00315,2024,B,3
E00315,2025,B,3
E00316,2023,S,5
E00316,2024,A,4
E00316,2025,S,5
E00317,2023,C,2
E00317,2024,C,2
E00317,2025,C,2
E00318,2023,C,2
E00318,2024,C,2
E00318,2025,D,1
E00319,2023,C,2
E00319,2024,B,3
E00319,2025,D,1
E00320,2023,B,3
E00320,2024,D,1
E00320,2025,B,3
E00321,2023,B,3
E00321,2024,S,5
E00321,2025,S,5
E00322,2023,A,4
E00322,2024,B,3
E00322,2025,S,5
E00323,2023,D,1
E00323,2024,D,1
E00323,2025,C,2
E00324,2023,S,5
E00324,2024,S,5
E00324,2025,S,5
E00325,2023,A,4
E00325,2024,B,3
E00325,2025,B,3
E00326,2023,A,4
E00326,2024,A,4
E00326,2025,B,3
E00327,2023,C,2
E00327,2024,A,4
E00327,2025,B,3
E00328,2023,S,5
E00328,2024,B,3
E00328,2025,S,5
E00329,2023,A,4
E00329,2024,C,2
E00329,2025,C,2
E00330,2023,C,2
E00330,2024,D,1
E00330,2025,A,4
E00331,2023,C,2
E00331,2024,B,3
E00331,2025,B,3
E00332,2023,C,2
E00332,2024,B,3
E00332,2025,A,4
E00333,2023,S,5
E00333,2024,S,5
E00333,2025,S,5
E00334,2023,C,2
E00334,2024,D,1
E00334,2025,D,1
E00335,2023,B,3
E00335,2024,D,1
E00335,2025,B,3
E00336,2023,A,4
E00336,2024,A,4
E00336,2025,A,4
E00337,2023,A,4
E00337,2024,D,1
E00337,2025,C,2
E00338,2023,C,2
E00338,2024,S,5
E00338,2025,S,5
E00339,2023,B,3
E00339,2024,B,3
E00339,2025,A,4
E00340,2023,B,3
E00340,2024,C,2
E00340,2025,D,1
E00341,2023,A,4
E00341,2024,S,5
E00341,2025,A,4
E00342,2023,C,2
E00342,2024,C,2
E00342,2025,C,2
E00343,2023,C,2
E00343,2024,A,4
E00343,2025,A,4
E00344,2023,D,1
E00344,2024,B,3
E00344,2025,D,1
E00345,2023,A,4
E00345,2024,A,4
E00345,2025,C,2
E00346,2023,B,3
E00346,2024,D,1
E00346,2025,B,3
E00347,2023,D,1
E00347,2024,D,1
E00347,2025,C,2
E00348,2023,S,5
E00348,2024,A,4
E00348,2025,S,5
E00349,2023,C,2
E00349,2024,D,1
E00349,2025,B,3
E00350,2023,D,1
E00350,2024,D,1
E00350,2025,D,1
E00351,2023,B,3
E00351,2024,A,4
E00351,2025,A,4
E00352,2023,S,5
E00352,2024,S,5
E00352,2025,S,5
E00353,2023,B,3
E00353,2024,S,5
E00353,2025,A,4
E00354,2023,B,3
E00354,2024,D,1
E00354,2025,A,4
E00355,2023,C,2
E00355,2024,C,2
E00355,2025,D,1
E00356,2023,B,3
E00356,2024,B,3
E00356,2025,C,2
E00357,2023,B,3
E00357,2024,C,2
E00357,2025,A,4
E00358,2023,S,5
E00358,2024,S,5
E00358,2025,S,5
E00359,2023,B,3
E00359,2024,C,2
E00359,2025,D,1
E00360,2023,B,3
E00360,2024,B,3
E00360,2025,D,1
E00361,2023,C,2
E00361,2024,B,3
E00361,2025,A,4
E00362,2023,B,3
E00362,2024,D,1
E00362,2025,C,2
E00363,2023,C,2
E00363,2024,B,3
E00363,2025,C,2
E00364,2023,B,3
E00364,2024,B,3
E00364,2025,A,4
E00365,2023,A,4
E00365,2024,C,2
E00365,2025,B,3
E00366,2023,C,2
E00366,2024,C,2
E00366,2025,C,2
E00367,2023,D,1
E00367,2024,C,2
E00367,2025,B,3
E00368,2023,D,1
E00368,2024,D,1
E00368,2025,B,3
E00369,2023,C,2
E00369,2024,A,4
E00369,2025,D,1
E00370,2023,B,3
E00370,2024,S,5
E00370,2025,C,2
E00371,2023,C,2
E00371,2024,B,3
E00371,2025,B,3
E00372,2023,S,5
E00372,2024,A,4
E00372,2025,S,5
E00373,2023,D,1
E00373,2024,C,2
E00373,2025,C,2
E00374,2023,C,2
E00374,2024,D,1
E00374,2025,C,2
E00375,2023,D,1
E00375,2024,C,2
E00375,2025,D,1
E00376,2023,C,2
E00376,2024,C,2
E00376,2025,C,2
E00377,2023,C,2
E00377,2024,C,2
E00377,2025,C,2
E00378,2023,D,1
E00378,2024,C,2
E00378,2025,D,1
E00379,2023,A,4
E00379,2024,S,5
E00379,2025,A,4
E00380,2023,C,2
E00380,2024,A,4
E00380,2025,C,2
E00381,2023,A,4
E00381,2024,B,3
E00381,2025,B,3
E00382,2023,C,2
E00382,2024,C,2
E00382,2025,C,2
E00383,2023,S,5
E00383,2024,A,4
E00383,2025,B,3
E00384,2023,C,2
E00384,2024,C,2
E00384,2025,D,1
E00385,2023,S,5
E00385,2024,S,5
E00385,2025,B,3
E00386,2023,A,4
E00386,2024,A,4
E00386,2025,S,5
E00387,2023,S,5
E00387,2024,B,3
E00387,2025,B,3
E00388,2023,A,4
E00388,2024,B,3
E00388,2025,A,4
E00389,2023,D,1
E00389,2024,D,1
E00389,2025,D,1
E00390,2023,D,1
E00390,2024,D,1
E00390,2025,D,1
E00391,2023,B,3
E00391,2024,S,5
E00391,2025,S,5
E00392,2023,C,2
E00392,2024,B,3
E00392,2025,B,3
E00393,2023,D,1
E00393,2024,C,2
E00393,2025,C,2
E00394,2023,S,5
E00394,2024,S,5
E00394,2025,A,4
E00395,2023,S,5
E00395,2024,B,3
E00395,2025,A,4
E00396,2023,C,2
E00396,2024,C,2
E00396,2025,C,2
E00397,2023,S,5
E00397,2024,A,4
E00397,2025,S,5
E00398,2023,D,1
E00398,2024,A,4
E00398,2025,B,3
E00399,2023,C,2
E00399,2024,C,2
E00399,2025,C,2
E00400,2023,A,4
E00400,2024,A,4
E00400,2025,S,5
E00401,2023,A,4
E00401,2024,B,3
E00401,2025,A,4
E00402,2023,B,3
E00402,2024,B,3
E00402,2025,A,4
E00403,2023,C,2
E00403,2024,B,3
E00403,2025,C,2
E00404,2023,D,1
E00404,2024,D,1
E00404,2025,D,1
E00405,2023,C,2
E00405,2024,D,1
E00405,2025,B,3
E00406,2023,A,4
E00406,2024,B,3
E00406,2025,C,2
E00407,2023,A,4
E00407,2024,C,2
E00407,2025,A,4
E00408,2023,B,3
E00408,2024,B,3
E00408,2025,C,2
E00409,2023,A,4
E00409,2024,A,4
E00409,2025,C,2
E00410,2023,A,4
E00410,2024,A,4
E00410,2025,B,3
E00411,2023,D,1
E00411,2024,D,1
E00411,2025,D,1
E00412,2023,S,5
E00412,2024,A,4
E00412,2025,A,4
E00413,2023,C,2
E00413,2024,B,3
E00413,2025,D,1
E00414,2023,A,4
E00414,2024,A,4
E00414,2025,A,4
E00415,2023,A,4
E00415,2024,A,4
E00415,2025,B,3
E00416,2023,S,5
E00416,2024,B,3
E00416,2025,S,5
E00417,2023,D,1
E00417,2024,C,2
E00417,2025,C,2
E00418,2023,C,2
E00418,2024,B,3
E00418,2025,B,3
E00419,2023,B,3
E00419,2024,C,2
E00419,2025,C,2
E00420,2023,D,1
E00420,2024,C,2
E00420,2025,D,1
E00421,2023,D,1
E00421,2024,D,1
E00421,2025,D,1
E00422,2023,S,5
E00422,2024,A,4
E00422,2025,S,5
E00423,2023,B,3
