employee_id,year_month,overtime_hours,absence_days,paid_leave_used_days
E00006,2025-06,14.5,0,0
E00006,2025-07,24.4,0,0
E00006,2025-08,20.3,0,0
E00006,2025-09,22.6,1,1
E00006,2025-10,26.0,0,2
E00006,2025-11,18.8,0,2
E00006,2025-12,21.7,1,0
E00007,2025-01,13.6,0,0
E00007,2025-02,25.6,0,0
E00007,2025-03,35.2,0,0
E00007,2025-04,23.3,1,0
E00007,2025-05,26.6,0,0
E00007,2025-06,22.4,0,0
E00007,2025-07,24.4,0,1
E00007,2025-08,24.8,0,2
E00007,2025-09,13.5,1,2
E00007,2025-10,22.6,2,1
E00007,2025-11,17.9,0,1
E00007,2025-12,45.2,0,0
E00008,2025-01,19.7,0,0
E00008,2025-02,4.6,0,2
E00008,2025-03,25.1,1,0
E00008,2025-04,17.5,0,0
E00008,2025-05,0.0,0,0
E00008,2025-06,23.0,0,0
E00008,2025-07,22.9,1,1
E00008,2025-08,22.4,1,0
E00008,2025-09,23.9,0,3
E00008,2025-10,4.2,0,0
E00008,2025-11,1.5,2,0
E00008,2025-12,0.0,0,1
E00009,2025-01,33.6,0,1
E00009,2025-02,22.5,0,2
E00009,2025-03,20.3,0,0
E00009,2025-04,9.1,0,1
E00009,2025-05,22.4,0,2
E00009,2025-06,19.6,0,1
E00009,2025-07,13.4,0,1
E00009,2025-08,22.5,1,1
E00009,2025-09,3.5,0,1
E00009,2025-10,6.2,0,2
E00009,2025-11,23.1,0,2
E00009,2025-12,18.3,1,1
E00010,2025-01,34.9,0,0
E00010,2025-02,20.8,0,2
E00010,2025-03,21.5,0,0
E00010,2025-04,18.2,0,0
E00010,2025-05,20.8,0,0
E00010,2025-06,23.1,0,0
E00010,2025-07,16.2,1,0
E00010,2025-08,31.4,0,0
E00010,2025-09,16.4,0,1
E00010,2025-10,34.1,0,0
E00010,2025-11,19.2,0,3
E00010,2025-12,14.7,0,1
E00011,2025-01,8.4,0,0
E00011,2025-02,12.4,1,0
E00011,2025-03,23.2,0,0
E00011,2025-04,8.8,0,0
E00011,2025-05,21.2,0,0
E00011,2025-06,21.3,0,0
E00011,2025-07,9.6,2,1
E00011,2025-08,16.1,0,0
E00011,2025-09,6.2,0,1
E00011,2025-10,21.4,0,0
E00011,2025-11,21.7,1,0
E00011,2025-12,10.9,0,0
E00012,2025-01,13.7,0,1
E00012,2025-02,9.7,0,1
E00012,2025-03,2.7,0,3
E00012,2025-04,19.7,1,0
E00012,2025-05,13.8,1,0
E00012,2025-06,16.0,1,0
E00012,2025-07,10.0,1,0
E00012,2025-08,4.9,0,0
E00012,2025-09,26.5,0,0
E00012,2025-10,23.4,0,2
E00012,2025-11,1.4,0,0
E00012,2025-12,13.8,0,0
E00013,2025-01,4.4,1,1
E00013,2025-02,14.1,0,1
E00013,2025-03,22.0,1,2
E00013,2025-04,25.6,0,2
E00013,2025-05,30.8,0,1
E00013,2025-06,19.2,1,0
E00013,2025-07,24.3,0,2
E00013,2025-08,13.4,0,0
E00013,2025-09,8.1,0,2
E00013,2025-10,20.3,0,2
E00013,2025-11,6.6,1,3
E00013,2025-12,16.2,1,1
E00014,2025-01,25.4,0,0
E00014,2025-02,5.6,1,0
E00014,2025-03,22.3,1,0
E00014,2025-04,19.4,0,0
E00014,2025-05,27.2,1,2
E00014,2025-06,29.0,0,1
E00014,2025-07,19.5,1,1
E00014,2025-08,13.1,0,2
E00014,2025-09,11.1,0,0
E00014,2025-10,10.7,0,1
E00014,2025-11,32.6,0,0
E00014,2025-12,36.3,0,2
E00015,2025-01,6.5,0,0
E00015,2025-02,28.1,0,0
E00015,2025-03,24.7,0,1
E00015,2025-04,28.1,1,1
E00015,2025-05,10.0,0,0
E00015,2025-06,11.0,0,2
E00015,2025-07,11.4,0,0
E00015,2025-08,8.5,0,2
E00015,2025-09,11.9,1,2
E00015,2025-10,23.1,0,1
E00015,2025-11,21.7,0,0
E00015,2025-12,25.8,0,2
E00016,2025-01,22.6,0,0
E00016,2025-02,4.1,0,0
E00016,2025-03,16.7,0,0
E00016,2025-04,15.7,0,1
E00016,2025-05,11.7,0,0
E00016,2025-06,23.8,2,1
E00016,2025-07,13.2,1,1
E00016,2025-08,0.0,0,0
E00016,2025-09,14.2,0,1
E00016,2025-10,8.0,0,1
E00016,2025-11,9.4,1,0
E00016,2025-12,12.3,0,2
E00017,2025-01,20.3,0,0
E00017,2025-02,13.2,0,0
E00017,2025-03,31.2,0,2
E00017,2025-04,10.6,0,2
E00017,2025-05,24.5,1,0
E00017,2025-06,31.6,0,2
E00017,2025-07,18.4,1,2
E00017,2025-08,22.1,0,1
E00017,2025-09,15.4,0,0
E00017,2025-10,28.9,0,0
E00017,2025-11,29.2,0,1
E00017,2025-12,23.1,0,0
E00018,2025-01,16.6,0,0
E00018,2025-02,22.6,0,0
E00018,2025-03,6.5,0,0
E00018,2025-04,6.9,0,2
E00018,2025-05,14.9,0,2
E00018,2025-06,0.0,2,1
E00018,2025-07,0.0,0,1
E00018,2025-08,9.5,2,1
E00018,2025-09,5.3,0,0
E00018,2025-10,14.9,0,0
E00018,2025-11,14.1,0,0
E00018,2025-12,9.8,1,2
E00019,2025-01,27.9,1,0
E00019,2025-02,17.1,0,1
E00019,2025-03,25.4,2,1
E00019,2025-04,29.1,0,0
E00019,2025-05,38.1,0,2
E00019,2025-06,26.5,0,0
E00019,2025-07,22.3,0,1
E00019,2025-08,24.0,0,0
E00019,2025-09,38.5,0,1
E00019,2025-10,22.1,0,0
E00019,2025-11,23.3,0,0
E00019,2025-12,28.1,0,1
E00020,2025-01,17.2,0,0
E00020,2025-02,2.3,1,1
E00020,2025-03,25.6,0,0
E00020,2025-04,31.5,0,3
E00020,2025-05,19.5,0,0
E00020,2025-06,26.9,1,0
E00020,2025-07,15.8,1,2
E00020,2025-08,21.2,0,0
E00020,2025-09,25.0,0,2
E00020,2025-10,20.3,0,1
E00020,2025-11,40.6,1,0
E00020,2025-12,26.5,0,2
E00021,2025-01,20.6,0,1
E00021,2025-02,22.9,1,1
E00021,2025-03,40.0,0,0
E00021,2025-04,42.4,0,1
E00021,2025-05,28.8,0,0
E00021,2025-06,29.0,0,1
E00021,2025-07,28.5,0,0
E00021,2025-08,26.8,0,2
E00021,2025-09,49.0,0,1
E00021,2025-10,24.0,0,0
E00021,2025-11,46.4,0,2
E00021,2025-12,23.0,0,0
E00022,2025-01,18.8,1,0
E00022,2025-02,29.4,0,0
E00022,2025-03,24.2,1,0
E00022,2025-04,11.6,0,0
E00022,2025-05,27.8,0,0
E00022,2025-06,31.2,0,2
E00022,2025-07,0.0,0,0
E00022,2025-08,17.6,2,2
E00022,2025-09,19.6,1,0
E00022,2025-10,15.3,1,0
E00022,2025-11,16.1,0,1
E00022,2025-12,5.7,0,3
E00023,2025-01,22.6,0,0
E00023,2025-02,10.9,0,0
E00023,2025-03,7.6,0,0
E00023,2025-04,24.5,0,2
E00023,2025-05,7.8,0,1
E00023,2025-06,22.4,0,1
E00023,2025-07,28.4,1,1
E00023,2025-08,18.3,0,1
E00023,2025-09,15.7,0,0
E00023,2025-10,5.1,0,1
E00023,2025-11,27.9,0,1
E00023,2025-12,25.1,0,3
E00024,2025-01,21.0,0,0
E00024,2025-02,3.5,0,2
E00024,2025-03,22.1,1,0
E00024,2025-04,7.8,1,3
E00024,2025-05,22.9,0,1
E00024,2025-06,2.9,0,2
E00024,2025-07,9.3,0,0
E00024,2025-08,0.0,0,1
E00024,2025-09,3.3,0,0
E00024,2025-10,30.8,1,0
E00024,2025-11,4.3,0,2
E00024,2025-12,16.8,1,0
E00025,2025-01,14.0,0,0
E00025,2025-02,27.7,0,0
E00025,2025-03,21.1,0,0
E00025,2025-04,5.6,2,0
E00025,2025-05,26.4,0,0
E00025,2025-06,25.1,1,1
E00025,2025-07,31.8,0,1
E00025,2025-08,29.0,0,2
E00025,2025-09,22.5,0,0
E00025,2025-10,5.5,0,0
E00025,2025-11,16.9,0,0
E00025,2025-12,16.5,0,0
E00026,2025-01,36.1,1,1
E00026,2025-02,31.5,0,0
E00026,2025-03,19.7,0,0
E00026,2025-04,22.9,0,0
E00026,2025-05,31.3,1,2
E00026,2025-06,35.0,2,1
E00026,2025-07,37.4,0,0
E00026,2025-08,30.5,0,4
E00026,2025-09,18.4,0,0
E00026,2025-10,32.8,1,0
E00026,2025-11,18.5,1,0
E00026,2025-12,21.1,0,0
E00027,2025-01,17.8,0,1
E00027,2025-02,31.5,0,1
E00027,2025-03,3.7,0,2
E00027,2025-04,15.6,0,1
E00027,2025-05,17.0,0,2
E00027,2025-06,1.1,0,0
E00027,2025-07,21.5,0,0
E00027,2025-08,9.8,0,0
E00027,2025-09,23.5,0,1
E00027,2025-10,13.2,0,0
E00027,2025-11,13.3,0,0
E00027,2025-12,4.0,1,1
E00028,2025-01,25.3,1,0
E00028,2025-02,26.8,0,2
E00028,2025-03,25.4,0,2
E00028,2025-04,42.3,0,1
E00028,2025-05,30.6,0,0
E00028,2025-06,37.1,0,2
E00028,2025-07,25.8,0,0
E00028,2025-08,21.0,0,0
E00028,2025-09,27.5,0,0
E00028,2025-10,14.2,2,3
E00028,2025-11,26.5,0,0
E00028,2025-12,25.5,0,3
E00029,2025-01,22.3,0,2
E00029,2025-02,15.2,0,2
E00029,2025-03,32.5,0,2
E00029,2025-04,29.7,1,0
E00029,2025-05,14.4,1,1
E00029,2025-06,15.7,1,0
E00029,2025-07,23.4,0,2
E00029,2025-08,20.8,0,1
E00029,2025-09,3.0,0,0
E00029,2025-10,30.3,0,4
E00029,2025-11,25.6,0,1
E00029,2025-12,39.4,0,0
E00030,2025-01,27.9,0,0
E00030,2025-02,25.7,0,0
E00030,2025-03,16.4,0,2
E00030,2025-04,23.4,2,1
E00030,2025-05,20.8,0,1
E00030,2025-06,31.2,0,1
E00030,2025-07,22.3,1,2
E00030,2025-08,33.2,0,1
E00030,2025-09,26.1,0,0
E00030,2025-10,18.5,0,0
E00030,2025-11,19.0,0,0
E00030,2025-12,28.0,0,0
E00031,2025-01,22.1,0,1
E00031,2025-02,12.2,0,0
E00031,2025-03,7.0,0,0
E00031,2025-04,19.0,0,0
E00031,2025-05,1.5,0,1
E00031,2025-06,8.8,0,0
E00031,2025-07,10.5,0,0
E00031,2025-08,12.7,0,0
E00031,2025-09,11.6,0,2
E00031,2025-10,0.2,0,1
E00031,2025-11,0.0,1,0
E00031,2025-12,12.7,0,2
E00032,2025-01,23.5,1,1
E00032,2025-02,26.5,0,1
E00032,2025-03,17.8,0,0
E00032,2025-04,32.4,1,2
E00032,2025-05,33.4,2,2
E00032,2025-06,24.4,0,1
E00032,2025-07,24.5,0,0
E00032,2025-08,15.8,0,1
E00032,2025-09,32.1,0,1
E00032,2025-10,20.9,0,0
E00032,2025-11,28.9,1,0
E00032,2025-12,30.8,2,1
E00033,2025-01,0.0,2,0
E00033,2025-02,6.5,0,0
E00033,2025-03,28.3,0,0
E00033,2025-04,21.8,0,1
E00033,2025-05,10.8,0,1
E00033,2025-06,14.3,1,0
E00033,2025-07,7.6,0,0
E00033,2025-08,5.9,0,3
E00033,2025-09,12.8,0,1
E00033,2025-10,21.3,1,0
E00033,2025-11,17.1,0,2
E00033,2025-12,19.5,0,2
E00034,2025-01,34.1,0,0
E00034,2025-02,35.6,1,1
E00034,2025-03,21.4,0,3
E00034,2025-04,27.5,2,0
E00034,2025-05,42.5,0,4
E00034,2025-06,22.7,0,1
E00034,2025-07,32.6,0,0
E00034,2025-08,28.5,0,1
E00034,2025-09,26.1,0,0
E00034,2025-10,33.6,0,2
E00034,2025-11,33.6,0,1
E00034,2025-12,13.6,0,0
E00035,2025-01,32.0,0,0
E00035,2025-02,34.1,1,0
E00035,2025-03,47.9,0,3
E00035,2025-04,25.5,1,0
E00035,2025-05,30.9,1,1
E00035,2025-06,38.4,0,0
E00035,2025-07,26.3,0,0
E00035,2025-08,25.5,0,1
E00035,2025-09,18.4,1,0
E00035,2025-10,37.9,1,2
E00035,2025-11,21.5,0,0
E00035,2025-12,22.8,0,0
E00036,2025-01,19.8,0,0
E00036,2025-02,4.2,0,0
E00036,2025-03,4.6,0,0
E00036,2025-04,26.7,0,2
E00036,2025-05,22.8,0,0
E00036,2025-06,13.5,1,0
E00036,2025-07,0.0,0,2
E00036,2025-08,32.2,0,2
E00036,2025-09,10.8,0,1
E00036,2025-10,20.7,0,0
E00036,2025-11,5.8,1,0
E00036,2025-12,16.0,1,1
E00037,2025-01,15.2,1,0
E00037,2025-02,11.1,0,3
E00037,2025-03,23.8,0,0
E00037,2025-04,20.5,0,0
E00037,2025-05,26.9,0,1
E00037,2025-06,6.0,1,0
E00037,2025-07,37.6,0,1
E00037,2025-08,2.4,0,1
E00037,2025-09,15.3,1,1
E00037,2025-10,18.0,0,0
E00037,2025-11,23.3,0,0
E00037,2025-12,12.1,0,1
E00038,2025-01,33.3,1,3
E00038,2025-02,23.6,0,2
E00038,2025-03,22.1,0,0
E00038,2025-04,17.6,0,0
E00038,2025-05,11.7,1,4
E00038,2025-06,10.9,0,0
E00038,2025-07,24.6,0,3
E00038,2025-08,5.7,0,1
E00038,2025-09,15.7,0,2
E00038,2025-10,22.3,1,1
E00038,2025-11,14.9,1,0
E00038,2025-12,12.7,2,0
E00039,2025-01,25.2,1,2
E00039,2025-02,26.6,0,0
E00039,2025-03,23.9,2,0
E00039,2025-04,25.5,0,0
E00039,2025-05,44.8,0,0
E00039,2025-06,28.9,2,0
E00039,2025-07,18.7,0,3
E00039,2025-08,19.4,1,3
E00039,2025-09,42.4,0,1
E00039,2025-10,23.4,2,0
E00039,2025-11,31.7,0,1
E00039,2025-12,42.3,0,1
E00040,2025-01,24.7,0,0
E00040,2025-02,9.7,0,0
E00040,2025-03,21.9,0,0
E00040,2025-04,30.6,0,0
E00040,2025-05,21.3,0,0
E00040,2025-06,0.0,1,0
E00040,2025-07,17.0,0,1
E00040,2025-08,27.3,1,0
E00040,2025-09,26.6,0,0
E00040,2025-10,15.4,0,1
E00040,2025-11,16.2,1,0
E00040,2025-12,14.0,0,0
E00041,2025-01,24.0,0,0
E00041,2025-02,10.7,0,0
E00041,2025-03,21.4,0,0
E00041,2025-04,24.5,0,0
E00041,2025-05,24.9,0,0
E00041,2025-06,8.2,1,0
E00041,2025-07,22.9,0,0
E00041,2025-08,30.9,0,0
E00041,2025-09,18.5,1,1
E00041,2025-10,19.5,2,0
E00041,2025-11,25.3,1,3
E00041,2025-12,32.9,1,0
E00042,2025-01,25.7,0,0
E00042,2025-02,2.8,0,0
E00042,2025-03,4.6,1,0
E00042,2025-04,18.4,1,1
E00042,2025-05,18.8,0,0
E00042,2025-06,10.7,0,1
E00042,2025-07,21.5,0,1
E00042,2025-08,30.9,0,1
E00042,2025-09,10.4,0,2
E00042,2025-10,21.6,0,2
E00042,2025-11,22.7,1,0
E00042,2025-12,20.1,0,1
E00043,2025-01,31.5,0,1
E00043,2025-02,7.7,0,1
E00043,2025-03,20.6,1,3
E00043,2025-04,19.7,0,2
E00043,2025-05,19.3,0,0
E00043,2025-06,41.5,1,1
E00043,2025-07,19.0,0,0
E00043,2025-08,5.2,0,1
E00043,2025-09,9.5,1,1
E00043,2025-10,21.2,2,1
E00043,2025-11,7.3,0,2
E00043,2025-12,25.5,0,0
E00044,2025-01,0.2,0,1
E00044,2025-02,19.2,0,2
E00044,2025-03,13.0,0,0
E00044,2025-04,32.7,0,2
E00044,2025-05,19.9,2,0
E00044,2025-06,28.1,1,1
E00044,2025-07,29.9,1,1
E00044,2025-08,15.8,0,1
E00044,2025-09,26.5,1,0
E00044,2025-10,24.9,1,0
E00044,2025-11,32.4,0,0
E00044,2025-12,30.7,0,3
E00045,2025-01,29.9,0,3
E00045,2025-02,10.0,0,0
E00045,2025-03,0.0,0,0
E00045,2025-04,10.7,0,1
E00045,2025-05,18.6,0,0
E00045,2025-06,11.3,0,0
E00045,2025-07,26.7,0,0
E00045,2025-08,22.3,0,0
E00045,2025-09,5.8,2,0
E00045,2025-10,27.5,0,3
E00045,2025-11,0.0,1,0
E00045,2025-12,42.0,0,1
E00046,2025-01,24.9,0,1
E00046,2025-02,14.5,0,1
E00046,2025-03,0.0,0,1
E00046,2025-04,2.7,0,2
E00046,2025-05,15.2,0,0
E00046,2025-06,11.0,0,0
E00046,2025-07,13.5,0,0
E00046,2025-08,5.0,0,2
E00046,2025-09,19.1,0,3
E00046,2025-10,8.9,1,0
E00046,2025-11,0.1,1,3
E00046,2025-12,14.8,0,0
E00047,2025-01,34.2,0,1
E00047,2025-02,32.9,0,0
E00047,2025-03,27.4,1,0
E00047,2025-04,32.7,2,1
E00047,2025-05,17.2,0,1
E00047,2025-06,19.9,0,0
E00047,2025-07,11.0,0,2
E00047,2025-08,13.6,0,0
E00047,2025-09,29.1,0,0
E00047,2025-10,28.9,0,3
E00047,2025-11,18.3,1,2
E00047,2025-12,21.8,1,0
E00048,2025-01,37.0,1,2
E00048,2025-02,35.9,2,1
E00048,2025-03,23.6,0,0
E00048,2025-04,30.9,1,0
E00048,2025-05,19.0,1,2
E00048,2025-06,34.6,0,2
E00048,2025-07,12.2,2,0
E00048,2025-08,43.5,0,0
E00048,2025-09,43.2,1,0
E00048,2025-10,37.2,1,0
E00048,2025-11,30.6,0,0
E00048,2025-12,14.5,0,1
E00049,2025-01,14.2,0,3
E00049,2025-02,19.7,0,2
E00049,2025-03,22.2,1,1
E00049,2025-04,31.8,0,2
E00049,2025-05,17.6,0,2
E00049,2025-06,21.4,0,2
E00049,2025-07,30.8,0,1
E00049,2025-08,38.0,0,1
E00049,2025-09,23.7,0,1
E00049,2025-10,37.4,0,0
E00049,2025-11,26.7,1,5
E00049,2025-12,19.3,0,0
E00050,2025-01,23.8,0,0
E00050,2025-02,12.7,0,1
E00050,2025-03,6.2,0,2
E00050,2025-04,28.2,1,0
E00050,2025-05,12.9,0,2
E00050,2025-06,29.5,1,3
E00050,2025-07,15.9,1,1
E00050,2025-08,14.6,0,1
E00050,2025-09,33.1,1,0
E00050,2025-10,8.3,0,2
E00050,2025-11,23.0,0,0
E00050,2025-12,20.8,1,2
E00051,2025-01,7.2,0,0
E00051,2025-02,14.9,0,2
E00051,2025-03,12.3,0,0
E00051,2025-04,19.8,0,2
E00051,2025-05,30.1,0,0
E00051,2025-06,33.6,1,0
E00051,2025-07,16.4,0,2
E00051,2025-08,22.6,0,0
E00051,2025-09,20.4,0,0
E00051,2025-10,25.1,0,0
E00051,2025-11,10.5,2,3
E00051,2025-12,18.3,2,1
E00052,2025-01,27.4,0,0
E00052,2025-02,29.8,0,0
E00052,2025-03,39.2,0,1
E00052,2025-04,29.4,1,0
E00052,2025-05,19.0,0,0
E00052,2025-06,21.8,2,0
E00052,2025-07,20.3,0,0
E00052,2025-08,28.7,0,0
E00052,2025-09,34.4,0,0
E00052,2025-10,22.3,1,1
E00052,2025-11,36.9,1,0
E00052,2025-12,27.7,0,1
E00053,2025-01,20.1,0,1
E00053,2025-02,20.8,0,0
E00053,2025-03,16.4,0,2
E00053,2025-04,23.0,0,0
E00053,2025-05,7.1,0,0
E00053,2025-06,23.7,0,0
E00053,2025-07,8.9,0,2
E00053,2025-08,13.7,0,0
E00053,2025-09,20.7,0,0
E00053,2025-10,27.8,0,0
E00053,2025-11,27.8,0,1
E00053,2025-12,17.9,0,0
E00054,2025-01,5.6,1,0
E00054,2025-02,13.0,0,0
E00054,2025-03,19.1,1,2
E00054,2025-04,0.9,1,4
E00054,2025-05,16.3,0,3
E00054,2025-06,14.9,0,1
E00054,2025-07,11.2,0,1
E00054,2025-08,23.0,0,1
E00054,2025-09,17.4,0,1
E00054,2025-10,15.4,0,2
E00054,2025-11,2.2,0,2
E00054,2025-12,13.0,1,0
E00055,2025-01,19.6,0,1
E00055,2025-02,24.2,1,1
E00055,2025-03,18.8,0,2
E00055,2025-04,36.8,0,0
E00055,2025-05,19.1,1,4
E00055,2025-06,11.5,0,0
E00055,2025-07,16.7,0,0
E00055,2025-08,23.2,0,0
E00055,2025-09,7.2,1,0
E00055,2025-10,19.6,0,0
E00055,2025-11,18.5,0,0
E00055,2025-12,32.5,0,1
E00056,2025-01,14.1,1,1
E00056,2025-02,15.5,0,0
E00056,2025-03,3.5,0,1
E00056,2025-04,11.2,0,1
E00056,2025-05,17.2,0,2
E00056,2025-06,9.9,1,4
E00056,2025-07,20.5,2,1
E00056,2025-08,9.0,0,0
E00056,2025-09,3.1,0,0
E00056,2025-10,26.0,0,2
E00056,2025-11,12.9,0,0
E00056,2025-12,0.0,0,0
E00057,2025-01,17.5,2,0
E00057,2025-02,9.1,0,0
E00057,2025-03,4.7,1,0
E00057,2025-04,5.6,1,0
E00057,2025-05,18.4,0,0
E00057,2025-06,22.3,0,1
E00057,2025-07,0.0,0,0
E00057,2025-08,5.9,0,2
E00057,2025-09,11.6,1,1
E00057,2025-10,0.0,1,0
E00057,2025-11,14.2,1,1
E00057,2025-12,21.1,0,1
E00058,2025-01,15.3,2,0
E00058,2025-02,18.0,0,0
E00058,2025-03,25.3,0,0
E00058,2025-04,19.2,0,0
E00058,2025-05,5.7,0,1
E00058,2025-06,13.9,0,1
E00058,2025-07,28.2,0,0
E00058,2025-08,6.9,0,2
E00058,2025-09,10.6,1,1
E00058,2025-10,10.9,0,1
E00058,2025-11,23.3,0,0
E00058,2025-12,17.7,0,2
E00059,2025-01,25.9,1,0
E00059,2025-02,13.2,0,0
E00059,2025-03,5.9,1,0
E00059,2025-04,0.7,2,1
E00059,2025-05,17.1,0,0
E00059,2025-06,5.1,1,0
E00059,2025-07,0.0,1,1
E00059,2025-08,7.3,0,2
E00059,2025-09,6.0,1,1
E00059,2025-10,11.2,0,0
E00059,2025-11,31.4,1,0
E00059,2025-12,20.2,0,3
E00060,2025-01,28.6,0,1
E00060,2025-02,12.1,1,1
E00060,2025-03,16.4,0,0
E00060,2025-04,26.9,0,2
E00060,2025-05,6.5,0,1
E00060,2025-06,11.3,2,0
E00060,2025-07,11.0,0,2
E00060,2025-08,4.9,0,0
E00060,2025-09,28.3,1,0
E00060,2025-10,4.6,1,1
E00060,2025-11,13.1,1,2
E00060,2025-12,12.6,1,0
E00061,2025-01,14.8,1,1
E00061,2025-02,22.5,0,1
E00061,2025-03,21.0,0,1
E00061,2025-04,18.7,0,0
E00061,2025-05,16.0,1,0
E00061,2025-06,17.9,0,0
E00061,2025-07,22.8,0,1
E00061,2025-08,14.5,4,1
E00061,2025-09,19.2,1,0
E00061,2025-10,15.4,0,1
E00061,2025-11,23.8,0,1
E00061,2025-12,13.8,0,2
E00062,2025-01,7.2,0,0
E00062,2025-02,6.4,1,0
E00062,2025-03,6.3,1,2
E00062,2025-04,16.5,1,0
E00062,2025-05,24.4,1,0
E00062,2025-06,28.5,0,0
E00062,2025-07,0.0,0,0
E00062,2025-08,8.0,2,0
E00062,2025-09,0.1,1,0
E00062,2025-10,5.8,1,1
E00062,2025-11,10.2,0,0
E00062,2025-12,15.0,0,0
E00063,2025-01,21.6,0,0
E00063,2025-02,31.9,1,0
E00063,2025-03,17.1,1,3
E00063,2025-04,33.8,0,1
E00063,2025-05,17.9,0,0
E00063,2025-06,20.4,0,1
E00063,2025-07,34.3,0,0
E00063,2025-08,24.1,1,0
E00063,2025-09,37.2,0,0
E00063,2025-10,23.9,0,2
E00063,2025-11,25.0,0,1
E00063,2025-12,36.0,0,1
E00064,2025-01,26.3,0,1
E00064,2025-02,46.6,0,0
E00064,2025-03,25.6,0,0
E00064,2025-04,18.7,0,0
E00064,2025-05,3.2,1,1
E00064,2025-06,29.1,0,0
E00064,2025-07,18.9,0,3
E00064,2025-08,7.0,0,1
E00064,2025-09,17.0,0,1
E00064,2025-10,20.7,2,0
E00064,2025-11,30.0,0,1
E00064,2025-12,12.6,1,0
E00065,2025-01,13.4,0,1
E00065,2025-02,1.9,0,2
E00065,2025-03,3.4,0,2
E00065,2025-04,0.0,0,1
E00065,2025-05,14.7,1,1
E00065,2025-06,10.5,0,0
E00065,2025-07,9.5,0,3
E00065,2025-08,13.6,0,0
E00065,2025-09,10.5,1,0
E00065,2025-10,0.0,0,0
E00065,2025-11,18.8,1,2
E00065,2025-12,5.2,1,3
E00066,2025-01,7.2,0,2
E00066,2025-02,21.3,0,0
E00066,2025-03,3.0,0,0
E00066,2025-04,0.0,0,0
E00066,2025-05,25.4,1,1
E00066,2025-06,0.0,0,3
E00066,2025-07,16.9,0,1
E00066,2025-08,13.8,1,0
E00066,2025-09,10.4,0,2
E00066,2025-10,21.9,0,0
E00066,2025-11,7.1,0,1
E00066,2025-12,6.7,0,1
E00067,2025-01,17.5,0,1
E00067,2025-02,25.8,0,0
E00067,2025-03,30.1,0,1
E00067,2025-04,9.8,1,1
E00067,2025-05,13.3,0,3
E00067,2025-06,0.0,1,2
E00067,2025-07,13.6,1,1
E00067,2025-08,12.8,1,2
E00067,2025-09,22.5,0,0
E00067,2025-10,17.9,0,0
E00067,2025-11,16.5,0,4
E00067,2025-12,19.3,0,2
E00068,2025-01,27.3,0,3
E00068,2025-02,28.9,0,0
E00068,2025-03,24.1,0,0
E00068,2025-04,21.5,0,0
E00068,2025-05,26.8,0,0
E00068,2025-06,26.4,0,1
E00068,2025-07,12.6,0,0
E00068,2025-08,15.7,1,1
E00068,2025-09,33.5,0,0
E00068,2025-10,25.5,0,1
E00068,2025-11,18.7,2,1
E00068,2025-12,14.7,0,1
E00069,2025-01,28.8,0,0
E00069,2025-02,14.3,0,1
E00069,2025-03,20.7,0,1
